instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered
8646,2012/1/1,1,1,1,0,0,0,0,1,0.36,0.3788,0.66,0,5,43
8647,2012/1/1,1,1,1,1,0,0,0,1,0.36,0.3485,0.66,0.1343,15,78
8648,2012/1/1,1,1,1,2,0,0,0,1,0.32,0.3485,0.76,0,16,59
8649,2012/1/1,1,1,1,3,0,0,0,1,0.3,0.3333,0.81,0,11,41
8650,2012/1/1,1,1,1,4,0,0,0,1,0.28,0.303,0.81,0.0896,0,8
8651,2012/1/1,1,1,1,5,0,0,0,1,0.28,0.2879,0.81,0.1045,0,5
8652,2012/1/1,1,1,1,6,0,0,0,1,0.26,0.2727,0.93,0.1343,1,1
8653,2012/1/1,1,1,1,7,0,0,0,1,0.26,0.2576,0.93,0.1642,1,6
8654,2012/1/1,1,1,1,8,0,0,0,1,0.26,0.2727,0.87,0.1045,4,10
8655,2012/1/1,1,1,1,9,0,0,0,1,0.26,0.2727,0.93,0.1045,13,27
8656,2012/1/1,1,1,1,10,0,0,0,1,0.3,0.3182,0.81,0.1045,18,52
8657,2012/1/1,1,1,1,11,0,0,0,1,0.34,0.3333,0.76,0.1343,40,98
8658,2012/1/1,1,1,1,12,0,0,0,1,0.4,0.4091,0.62,0.2836,58,143
8659,2012/1/1,1,1,1,13,0,0,0,1,0.42,0.4242,0.58,0.2836,82,141
8660,2012/1/1,1,1,1,14,0,0,0,1,0.44,0.4394,0.54,0.2985,120,147
8661,2012/1/1,1,1,1,15,0,0,0,1,0.46,0.4545,0.51,0.2985,101,164
8662,2012/1/1,1,1,1,16,0,0,0,2,0.44,0.4394,0.54,0.2985,68,147
8663,2012/1/1,1,1,1,17,0,0,0,2,0.48,0.4697,0.48,0.1642,36,75
8664,2012/1/1,1,1,1,18,0,0,0,3,0.46,0.4545,0.59,0.2537,25,81
8665,2012/1/1,1,1,1,19,0,0,0,3,0.42,0.4242,0.67,0.3881,20,85
8666,2012/1/1,1,1,1,20,0,0,0,2,0.44,0.4394,0.62,0.2985,25,58
8667,2012/1/1,1,1,1,21,0,0,0,2,0.44,0.4394,0.67,0.2537,10,61
8668,2012/1/1,1,1,1,22,0,0,0,1,0.46,0.4545,0.55,0.4179,13,53
8669,2012/1/1,1,1,1,23,0,0,0,1,0.44,0.4394,0.51,0.2985,4,25
8670,2012/1/2,,1,1,0,1,1,0,1,0.4,0.4091,0.4,0.4627,8,31
8671,2012/1/2,,1,1,1,1,1,0,1,0.36,0.3333,0.43,0.4179,1,11
8672,2012/1/2,,1,1,2,1,1,0,1,0.36,0.3182,0.34,0.4478,1,6
8673,2012/1/2,,1,1,4,1,1,0,1,0.28,0.2576,0.45,0.3284,0,4
8674,2012/1/2,,1,1,5,1,1,0,1,0.28,0.2576,0.45,0.3284,1,3
8675,2012/1/2,,1,1,6,1,1,0,1,0.26,0.2273,0.41,0.3881,0,14
8676,2012/1/2,,1,1,7,1,1,0,1,0.24,0.2121,0.32,0.3881,0,16
8677,2012/1/2,,1,1,8,1,1,0,1,0.24,0.2273,0.35,0.2537,2,51
8678,2012/1/2,,1,1,9,1,1,0,1,0.24,0.2576,0.35,0,15,53
8679,2012/1/2,,1,1,10,1,1,0,1,0.26,0.2424,0.35,0.2836,20,89
8680,2012/1/2,,1,1,11,1,1,0,1,0.26,0.2121,0.35,0.4925,33,142
8681,2012/1/2,,1,1,12,1,1,0,1,0.28,0.2727,0.36,0.2537,41,161
8682,2012/1/2,,1,1,13,1,1,0,1,0.3,0.2727,0.36,0.2985,26,150
8683,2012/1/2,,1,1,14,1,1,0,1,0.3,0.2727,0.36,0.4179,10,141
8684,2012/1/2,,1,1,15,1,1,0,1,0.28,0.2424,0.38,0.4478,29,139
8685,2012/1/2,,1,1,16,1,1,0,1,0.26,0.2273,0.35,0.4179,10,144
8686,2012/1/2,,1,1,17,1,1,0,1,0.26,0.2273,0.35,0.3881,17,136
8687,2012/1/2,,1,1,18,1,1,0,1,0.26,0.2424,0.33,0.2537,13,113
8688,2012/1/2,,1,1,19,1,1,0,1,0.24,0.2273,0.38,0.2239,4,89
8689,2012/1/2,,1,1,20,1,1,0,1,0.24,0.2273,0.41,0.2239,5,83
8690,2012/1/2,,1,1,21,1,1,0,2,0.24,0.2121,0.41,0.3284,3,63
8691,2012/1/2,,1,1,22,1,1,0,2,0.22,0.2121,0.44,0.2836,3,36
8692,2012/1/2,,1,1,23,1,1,0,1,0.22,0.2121,0.44,0.2537,2,32
8693,2012/1/3,1,1,1,0,0,2,1,1,0.2,0.197,0.51,0.2537,0,13
8694,2012/1/3,1,1,1,1,0,2,1,1,0.18,0.1818,0.55,0.2239,1,5
8695,2012/1/3,1,1,1,2,0,2,1,1,0.18,0.1667,0.51,0.2537,0,3
8696,2012/1/3,1,1,1,3,0,2,1,1,0.16,0.1364,0.55,0.2836,0,2
8697,2012/1/3,1,1,1,4,0,2,1,1,0.16,0.1515,0.55,0.2537,0,5
8698,2012/1/3,1,1,1,5,0,2,1,1,0.14,0.1364,0.54,0.194,0,12
8699,2012/1/3,1,1,1,6,0,2,1,1,0.14,0.1212,0.59,0.2836,4,81
8700,2012/1/3,1,1,1,7,0,2,1,1,0.14,0.1212,0.59,0.2537,2,168
8701,2012/1/3,1,1,1,8,0,2,1,1,0.16,0.1364,0.55,0.2836,5,349
8702,2012/1/3,1,1,1,9,0,2,1,1,0.16,0.1364,0.5,0.2836,8,145
8703,2012/1/3,1,1,1,10,0,2,1,1,0.16,0.1212,0.47,0.4627,5,55
8704,2012/1/3,1,1,1,11,0,2,1,1,0.18,0.1364,0.37,0.5224,12,63
8705,2012/1/3,1,1,1,12,0,2,1,1,0.18,0.1364,0.37,0.5224,4,70
8706,2012/1/3,1,1,1,13,0,2,1,1,0.18,0.1212,0.34,0.6567,5,68
8707,2012/1/3,1,1,1,14,0,2,1,1,0.16,0.1212,0.43,0.5224,7,72
8708,2012/1/3,1,1,1,15,0,2,1,1,0.16,0.1212,0.37,0.4179,9,68
8709,2012/1/3,1,1,1,16,0,2,1,1,0.14,0.0909,0.39,0.5821,7,129
8710,2012/1/3,1,1,1,17,0,2,1,1,0.14,0.1061,0.26,0.4627,4,241
8711,2012/1/3,1,1,1,18,0,2,1,1,0.14,0.0909,0.26,0.5224,10,214
8712,2012/1/3,1,1,1,19,0,2,1,1,0.12,0.0909,0.28,0.4179,4,152
8713,2012/1/3,1,1,1,20,0,2,1,1,0.12,0.1212,0.33,0.2537,0,115
8714,2012/1/3,1,1,1,21,0,2,1,1,0.1,0.1061,0.36,0.2239,2,66
8715,2012/1/3,1,1,1,22,0,2,1,1,0.1,0.1061,0.46,0.2537,0,33
8716,2012/1/3,1,1,1,23,0,2,1,1,0.1,0.0758,0.46,0.3881,0,18
8717,2012/1/4,1,1,1,0,0,3,1,1,0.08,0.0606,0.42,0.3284,0,9
8718,2012/1/4,1,1,1,1,0,3,1,1,0.04,0.0303,0.38,0.2985,0,3
8719,2012/1/4,1,1,1,2,0,3,1,1,0.02,0.0152,0.34,0.2836,0,1
8720,2012/1/4,1,1,1,3,0,3,1,1,0.02,0.0152,0.34,0.2836,0,1
8721,2012/1/4,1,1,1,4,0,3,1,1,0.02,0.0455,0.41,0.194,0,2
8722,2012/1/4,1,1,1,5,0,3,1,1,0.02,0.0455,0.41,0.194,0,14
8723,2012/1/4,1,1,1,6,0,3,1,1,0.02,0.0455,0.41,0.1642,0,59
8724,2012/1/4,1,1,1,7,0,3,1,1,0.02,0.0455,0.44,0.194,1,151
8725,2012/1/4,1,1,1,8,0,3,1,1,0.02,0.0606,0.44,0.1343,5,310
8726,2012/1/4,1,1,1,9,0,3,1,1,0.04,0.0606,0.45,0.1343,7,173
8727,2012/1/4,1,1,1,10,0,3,1,1,0.06,0.1061,0.45,0,7,57
8728,2012/1/4,1,1,1,11,0,3,1,2,0.08,0.1212,0.42,0.0896,6,40
8729,2012/1/4,1,1,1,12,0,3,1,2,0.1,0.1061,0.46,0.194,9,75
8730,2012/1/4,1,1,1,13,0,3,1,2,0.14,0.1212,0.43,0.2537,9,82
8731,2012/1/4,1,1,1,14,0,3,1,2,0.14,0.1212,0.46,0.2537,6,69
8732,2012/1/4,1,1,1,15,0,3,1,2,0.18,0.1515,0.37,0.3284,9,81
8733,2012/1/4,1,1,1,16,0,3,1,2,0.18,0.1667,0.4,0.2836,8,123
8734,2012/1/4,1,1,1,17,0,3,1,2,0.2,0.197,0.4,0.194,9,272
8735,2012/1/4,1,1,1,18,0,3,1,2,0.2,0.2121,0.37,0.1343,9,280
8736,2012/1/4,1,1,1,19,0,3,1,2,0.2,0.2273,0.4,0.1045,2,182
8737,2012/1/4,1,1,1,20,0,3,1,2,0.2,0.197,0.4,0.194,2,121
8738,2012/1/4,1,1,1,21,0,3,1,2,0.2,0.2576,0.44,0,2,88
8739,2012/1/4,1,1,1,22,0,3,1,2,0.2,0.2273,0.47,0.0896,4,48
8740,2012/1/4,1,1,1,23,0,3,1,2,0.2,0.2273,0.44,0.1045,0,32
8741,2012/1/5,1,1,1,0,0,4,1,2,0.22,0.2273,0.47,0.194,1,13
8742,2012/1/5,1,1,1,1,0,4,1,1,0.2,0.2273,0.51,0.0896,0,5
8743,2012/1/5,1,1,1,2,0,4,1,1,0.2,0.2273,0.51,0.0896,0,4
8744,2012/1/5,1,1,1,3,0,4,1,1,0.2,0.2576,0.61,0,0,4
8745,2012/1/5,1,1,1,4,0,4,1,2,0.2,0.2273,0.59,0.0896,0,5
8746,2012/1/5,1,1,1,5,0,4,1,2,0.2,0.2273,0.59,0.0896,0,26
8747,2012/1/5,1,1,1,6,0,4,1,2,0.2,0.2121,0.75,0.1343,0,78
8748,2012/1/5,1,1,1,7,0,4,1,2,0.2,0.2273,0.69,0.0896,3,212
8749,2012/1/5,1,1,1,8,0,4,1,2,0.2,0.2576,0.75,0,11,377
8750,2012/1/5,1,1,1,9,0,4,1,2,0.22,0.2727,0.69,0,7,220
8751,2012/1/5,1,1,1,10,0,4,1,2,0.24,0.2576,0.52,0.0896,5,81
8752,2012/1/5,1,1,1,11,0,4,1,1,0.3,0.3333,0.49,0,6,78
8753,2012/1/5,1,1,1,12,0,4,1,1,0.3,0.2879,0.49,0.2537,6,114
8754,2012/1/5,1,1,1,13,0,4,1,1,0.34,0.303,0.42,0.2985,6,112
8755,2012/1/5,1,1,1,14,0,4,1,1,0.34,0.3182,0.39,0.2836,13,104
8756,2012/1/5,1,1,1,15,0,4,1,1,0.36,0.3333,0.34,0.2836,6,113
8757,2012/1/5,1,1,1,16,0,4,1,1,0.36,0.3333,0.34,0.2836,19,178
8758,2012/1/5,1,1,1,17,0,4,1,2,0.36,0.3485,0.34,0.194,19,393
8759,2012/1/5,1,1,1,18,0,4,1,1,0.34,0.3333,0.36,0.1642,9,374
8760,2012/1/5,1,1,1,19,0,4,1,1,0.34,0.3485,0.34,0.0896,10,255
8761,2012/1/5,1,1,1,20,0,4,1,1,0.3,0.3333,0.49,0,5,172
8762,2012/1/5,1,1,1,21,0,4,1,1,0.26,0.2727,0.6,0.1343,9,88
8763,2012/1/5,1,1,1,22,0,4,1,1,0.26,0.2576,0.6,0.1642,1,70
8764,2012/1/5,1,1,1,23,0,4,1,1,0.24,0.2576,0.7,0.1045,4,56
8765,2012/1/6,1,1,1,0,0,5,1,1,0.22,0.2576,0.75,0.0896,1,24
8766,2012/1/6,1,1,1,1,0,5,1,1,0.22,0.2727,0.75,0,2,6
8767,2012/1/6,1,1,1,2,0,5,1,1,0.22,0.2273,0.69,0.1642,2,3
8768,2012/1/6,1,1,1,3,0,5,1,1,0.22,0.2424,0.69,0.1045,1,3
8769,2012/1/6,1,1,1,4,0,5,1,1,0.22,0.2273,0.69,0.1343,0,3
8770,2012/1/6,1,1,1,5,0,5,1,2,0.2,0.2121,0.8,0.1343,0,13
8771,2012/1/6,1,1,1,6,0,5,1,2,0.22,0.2424,0.73,0.1045,1,69
8772,2012/1/6,1,1,1,7,0,5,1,2,0.24,0.2879,0.65,0,4,201
8773,2012/1/6,1,1,1,8,0,5,1,1,0.24,0.2424,0.7,0.1343,11,436
8774,2012/1/6,1,1,1,9,0,5,1,1,0.24,0.2424,0.7,0.1642,4,237
8775,2012/1/6,1,1,1,10,0,5,1,1,0.26,0.2576,0.65,0.194,14,102
8776,2012/1/6,1,1,1,11,0,5,1,1,0.3,0.303,0.56,0.1642,8,130
8777,2012/1/6,1,1,1,12,0,5,1,1,0.36,0.3333,0.5,0.2537,23,168
8778,2012/1/6,1,1,1,13,0,5,1,1,0.4,0.4091,0.43,0.2836,16,188
8779,2012/1/6,1,1,1,14,0,5,1,1,0.46,0.4545,0.36,0.194,26,152
8780,2012/1/6,1,1,1,15,0,5,1,1,0.52,0.5,0.27,0.2537,44,178
8781,2012/1/6,1,1,1,16,0,5,1,1,0.52,0.5,0.27,0.2836,35,259
8782,2012/1/6,1,1,1,17,0,5,1,1,0.46,0.4545,0.36,0.2239,20,456
8783,2012/1/6,1,1,1,18,0,5,1,1,0.5,0.4848,0.29,0.2537,28,391
8784,2012/1/6,1,1,1,19,0,5,1,1,0.46,0.4545,0.33,0.2836,11,261
8785,2012/1/6,1,1,1,20,0,5,1,1,0.42,0.4242,0.41,0.194,14,163
8786,2012/1/6,1,1,1,21,0,5,1,1,0.4,0.4091,0.43,0.2239,17,137
8787,2012/1/6,1,1,1,22,0,5,1,1,0.36,0.3485,0.5,0.194,12,123
8788,2012/1/6,1,1,1,23,0,5,1,1,0.36,0.3788,0.5,0,13,88
8789,2012/1/7,1,1,1,0,0,6,0,1,0.36,0.3485,0.5,0.1642,2,77
8790,2012/1/7,1,1,1,1,0,6,0,1,0.38,0.3939,0.46,0.1642,6,56
8791,2012/1/7,1,1,1,2,0,6,0,1,0.36,0.3636,0.5,0.1045,2,36
8792,2012/1/7,1,1,1,3,0,6,0,1,0.32,0.3333,0.57,0.1045,1,19
8793,2012/1/7,1,1,1,4,0,6,0,1,0.32,0.3333,0.57,0.0896,1,9
8794,2012/1/7,1,1,1,5,0,6,0,1,0.26,0.2727,0.75,0.1045,2,7
8795,2012/1/7,1,1,1,6,0,6,0,1,0.26,0.2727,0.75,0.1045,0,7
8796,2012/1/7,1,1,1,7,0,6,0,1,0.22,0.2273,0.87,0.194,0,20
8797,2012/1/7,1,1,1,8,0,6,0,1,0.24,0.2576,0.75,0.1045,0,64
8798,2012/1/7,1,1,1,9,0,6,0,1,0.22,0.2273,0.8,0.1343,14,116
8799,2012/1/7,1,1,1,10,0,6,0,1,0.28,0.303,0.75,0.0896,43,160
8800,2012/1/7,1,1,1,11,0,6,0,1,0.34,0.3182,0.57,0.2239,74,250
8801,2012/1/7,1,1,1,12,0,6,0,1,0.4,0.4091,0.43,0.2239,100,276
8802,2012/1/7,1,1,1,13,0,6,0,1,0.44,0.4394,0.44,0.194,149,296
8803,2012/1/7,1,1,1,14,0,6,0,1,0.5,0.4848,0.42,0.2836,156,356
8804,2012/1/7,1,1,1,15,0,6,0,1,0.58,0.5455,0.37,0.2985,132,317
8805,2012/1/7,1,1,1,16,0,6,0,2,0.56,0.5303,0.37,0.2836,133,268
8806,2012/1/7,1,1,1,17,0,6,0,2,0.54,0.5152,0.43,0.1343,87,235
8807,2012/1/7,1,1,1,18,0,6,0,1,0.54,0.5152,0.45,0.1343,49,248
8808,2012/1/7,1,1,1,19,0,6,0,1,0.52,0.5,0.42,0.1045,44,171
8809,2012/1/7,1,1,1,20,0,6,0,1,0.5,0.4848,0.39,0.2537,21,149
8810,2012/1/7,1,1,1,21,0,6,0,1,0.44,0.4394,0.44,0.2239,22,118
8811,2012/1/7,1,1,1,22,0,6,0,1,0.44,0.4394,0.38,0.2537,16,93
8812,2012/1/7,1,1,1,23,0,6,0,1,0.42,0.4242,0.38,0.2239,16,103
8813,2012/1/8,1,1,1,0,0,0,0,1,0.38,0.3939,0.4,0.2836,14,77
8814,2012/1/8,1,1,1,1,0,0,0,1,0.34,0.3333,0.42,0.194,10,62
8815,2012/1/8,1,1,1,2,0,0,0,1,0.36,0.3333,0.37,0.2836,10,57
8816,2012/1/8,1,1,1,3,0,0,0,1,0.34,0.3333,0.42,0.1343,6,26
8817,2012/1/8,1,1,1,4,0,0,0,1,0.32,0.303,0.49,0.2537,2,4
8818,2012/1/8,1,1,1,5,0,0,0,2,0.32,0.3333,0.49,0.1045,0,2
8819,2012/1/8,1,1,1,6,0,0,0,2,0.3,0.3333,0.52,0,0,2
8820,2012/1/8,1,1,1,7,0,0,0,2,0.3,0.3333,0.52,0,1,23
8821,2012/1/8,1,1,1,8,0,0,0,1,0.3,0.303,0.52,0.1343,4,53
8822,2012/1/8,1,1,1,9,0,0,0,1,0.32,0.3333,0.53,0.1343,23,102
8823,2012/1/8,1,1,1,10,0,0,0,1,0.34,0.3333,0.49,0.1642,27,181
8824,2012/1/8,1,1,1,11,0,0,0,1,0.36,0.3485,0.46,0.2239,55,201
8825,2012/1/8,1,1,1,12,0,0,0,1,0.38,0.3939,0.43,0.2239,78,273
8826,2012/1/8,1,1,1,13,0,0,0,1,0.4,0.4091,0.37,0.2985,77,266
8827,2012/1/8,1,1,1,14,0,0,0,1,0.4,0.4091,0.4,0.194,75,253
8828,2012/1/8,1,1,1,15,0,0,0,1,0.4,0.4091,0.37,0.2836,89,241
8829,2012/1/8,1,1,1,16,0,0,0,1,0.4,0.4091,0.37,0.2985,58,256
8830,2012/1/8,1,1,1,17,0,0,0,1,0.38,0.3939,0.4,0.2239,22,197
8831,2012/1/8,1,1,1,18,0,0,0,1,0.34,0.3182,0.46,0.2239,19,162
8832,2012/1/8,1,1,1,19,0,0,0,1,0.32,0.3182,0.49,0.194,8,104
8833,2012/1/8,1,1,1,20,0,0,0,1,0.3,0.303,0.52,0.1642,7,119
8834,2012/1/8,1,1,1,21,0,0,0,1,0.28,0.2727,0.56,0.2239,10,81
8835,2012/1/8,1,1,1,22,0,0,0,1,0.26,0.2727,0.6,0.1045,4,54
8836,2012/1/8,1,1,1,23,0,0,0,1,0.26,0.2424,0.56,0.2537,0,30
8837,2012/1/9,1,1,1,0,0,1,1,1,0.24,0.2273,0.6,0.2239,3,12
8838,2012/1/9,1,1,1,1,0,1,1,1,0.24,0.2424,0.6,0.1343,1,4
8839,2012/1/9,1,1,1,2,0,1,1,1,0.24,0.2424,0.56,0.1343,2,3
8840,2012/1/9,1,1,1,3,0,1,1,1,0.24,0.2424,0.52,0.1642,0,3
8841,2012/1/9,1,1,1,4,0,1,1,1,0.22,0.2424,0.64,0.1045,0,4
8842,2012/1/9,1,1,1,5,0,1,1,2,0.2,0.2273,0.64,0.0896,0,21
8843,2012/1/9,1,1,1,6,0,1,1,2,0.22,0.2273,0.6,0.1343,3,85
8844,2012/1/9,1,1,1,7,0,1,1,2,0.22,0.2424,0.6,0.1045,1,239
8845,2012/1/9,1,1,1,8,0,1,1,2,0.22,0.2576,0.55,0.0896,13,407
8846,2012/1/9,1,1,1,9,0,1,1,2,0.22,0.2727,0.64,0,9,188
8847,2012/1/9,1,1,1,10,0,1,1,1,0.24,0.2879,0.6,0,13,95
8848,2012/1/9,1,1,1,11,0,1,1,2,0.26,0.2879,0.56,0.0896,6,82
8849,2012/1/9,1,1,1,12,0,1,1,2,0.26,0.2727,0.56,0.1045,10,93
8850,2012/1/9,1,1,1,13,0,1,1,2,0.26,0.2727,0.56,0.1045,3,77
8851,2012/1/9,1,1,1,14,0,1,1,3,0.22,0.2273,0.75,0.1642,5,45
8852,2012/1/9,1,1,1,15,0,1,1,3,0.22,0.2273,0.75,0.1642,5,64
8853,2012/1/9,1,1,1,16,0,1,1,3,0.22,0.2576,0.87,0.0896,3,46
8854,2012/1/9,1,1,1,17,0,1,1,3,0.22,0.2727,0.87,0,5,147
8855,2012/1/9,1,1,1,18,0,1,1,4,0.2,0.2273,0.86,0.0896,6,158
8856,2012/1/9,1,1,1,19,0,1,1,3,0.2,0.2273,0.93,0.0896,3,187
8857,2012/1/9,1,1,1,20,0,1,1,2,0.2,0.2273,0.86,0.0896,5,127
8858,2012/1/9,1,1,1,21,0,1,1,2,0.2,0.2576,0.93,0,1,78
8859,2012/1/9,1,1,1,22,0,1,1,2,0.2,0.2273,0.92,0.1045,8,54
8860,2012/1/9,1,1,1,23,0,1,1,2,0.22,0.2424,0.87,0.1045,1,51
8861,2012/1/10,1,1,1,0,0,2,1,2,0.22,0.2424,0.87,0.1045,0,14
